Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
3,Chrome 131.0.0.0,,,03-12-2024 14:50:15,03-12-2024 14:51:52,1m - 36.334s,PASSED
,,,,,,,
Test Cases/a32,Chrome 131.0.0.0,,,03-12-2024 14:50:16,03-12-2024 14:50:36,19.206s,PASSED
"openBrowser(""gmail.com"")",Chrome 131.0.0.0,,,03-12-2024 14:50:18,03-12-2024 14:50:33,15.272s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,03-12-2024 14:50:33,03-12-2024 14:50:36,2.406s,PASSED
,,,,,,,
Test Cases/a1/a12,Chrome 131.0.0.0,,,03-12-2024 14:50:36,03-12-2024 14:51:36,1m - 0.802s,PASSED
"openBrowser(""yahoo.com"")",Chrome 131.0.0.0,,,03-12-2024 14:50:36,03-12-2024 14:51:35,58.860s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,03-12-2024 14:51:35,03-12-2024 14:51:36,1.313s,PASSED
,,,,,,,
Test Cases/a1/a22,Chrome 131.0.0.0,,,03-12-2024 14:51:36,03-12-2024 14:51:43,6.645s,PASSED
"openBrowser(""google.com"")",Chrome 131.0.0.0,,,03-12-2024 14:51:37,03-12-2024 14:51:42,4.947s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,03-12-2024 14:51:42,03-12-2024 14:51:43,1.286s,PASSED
,,,,,,,
Test Cases/a1/a42,Chrome 131.0.0.0,,,03-12-2024 14:51:43,03-12-2024 14:51:52,8.516s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,03-12-2024 14:51:44,03-12-2024 14:51:50,6.334s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,03-12-2024 14:51:50,03-12-2024 14:51:52,1.644s,PASSED
